SIZE,COMPRESSED,RATIO,TIME
245,246,1.0040816326531,0.01634407043457
250,249,0.996,0.014199018478394
300,275,0.91666666666667,0.014602184295654
250,248,0.992,0.017537117004395
260,256,0.98461538461538,0.017338991165161
265,259,0.97735849056604,0.014193058013916
270,263,0.97407407407407,0.017070055007935
275,266,0.96727272727273,0.014375925064087
280,267,0.95357142857143,0.015222072601318
285,267,0.93684210526316,0.016009092330933
290,271,0.93448275862069,0.014740943908691
295,273,0.92542372881356,0.014604806900024
300,276,0.92,0.01485013961792
350,300,0.85714285714286,0.014827966690063
305,294,0.96393442622951,0.014523983001709
250,248,0.992,0.01461386680603
315,278,0.88253968253968,0.014991998672485
320,281,0.878125,0.014555931091309
150,173,1.1533333333333,0.015967130661011
330,291,0.88181818181818,0.015784025192261
335,291,0.86865671641791,0.015511989593506
340,317,0.93235294117647,0.015733003616333
345,298,0.86376811594203,0.014713048934937
350,300,0.85714285714286,0.015138864517212
400,324,0.81,0.01620888710022
355,303,0.85352112676056,0.016072988510132
360,307,0.85277777777778,0.014368057250977
365,311,0.85205479452055,0.015697002410889
370,319,0.86216216216216,0.015359163284302
375,318,0.848,0.014688968658447
380,316,0.83157894736842,0.016148090362549
385,318,0.82597402597403,0.0140540599823
390,324,0.83076923076923,0.015459060668945
395,324,0.82025316455696,0.017269849777222
400,337,0.8425,0.016139984130859
450,353,0.78444444444444,0.016081809997559
405,327,0.80740740740741,0.016474008560181
410,331,0.80731707317073,0.017191886901855
415,334,0.80481927710843,0.016499042510986
420,339,0.80714285714286,0.016698122024536
425,339,0.79764705882353,0.016101121902466
430,345,0.80232558139535,0.016365051269531
435,352,0.80919540229885,0.016227006912231
440,352,0.8,0.015731811523438
445,358,0.80449438202247,0.015550851821899
450,367,0.81555555555556,0.015160083770752
500,379,0.758,0.014547109603882
455,361,0.79340659340659,0.016047954559326
460,357,0.77608695652174,0.014396190643311
465,377,0.81075268817204,0.015321016311646
470,364,0.77446808510638,0.016071081161499
475,365,0.76842105263158,0.014763116836548
480,368,0.76666666666667,0.014744997024536
485,369,0.76082474226804,0.015393972396851
490,368,0.75102040816327,0.015465021133423
495,401,0.81010101010101,0.016293048858643
500,378,0.756,0.015900135040283
550,400,0.72727272727273,0.017384052276611
505,410,0.81188118811881,0.016436100006104
510,379,0.74313725490196,0.015756130218506
515,391,0.75922330097087,0.0158851146698
520,387,0.74423076923077,0.014930009841919
525,383,0.72952380952381,0.016013145446777
530,386,0.72830188679245,0.016058206558228
535,392,0.73271028037383,0.015539884567261
540,395,0.73148148148148,0.020528078079224
545,399,0.73211009174312,0.017621994018555
550,401,0.72909090909091,0.014894962310791
600,426,0.71,0.017078876495361
555,404,0.72792792792793,0.015100955963135
560,448,0.8,0.01578688621521
565,414,0.73274336283186,0.016289949417114
570,407,0.7140350877193,0.015576839447021
575,418,0.72695652173913,0.015555143356323
580,413,0.71206896551724,0.016952037811279
585,418,0.71452991452991,0.015567064285278
590,417,0.70677966101695,0.016433000564575
595,419,0.70420168067227,0.018669128417969
600,422,0.70333333333333,0.017826080322266
650,455,0.7,0.016388893127441
365,311,0.85205479452055,0.016439914703369
610,428,0.7016393442623,0.015156030654907
615,431,0.70081300813008,0.015885829925537
620,434,0.7,0.017065048217773
625,440,0.704,0.016502141952515
630,441,0.7,0.01626181602478
635,445,0.7007874015748,0.015640020370483
640,455,0.7109375,0.015326023101807
645,454,0.70387596899225,0.01653003692627
140,166,1.1857142857143,0.015237092971802
700,493,0.70428571428571,0.015082120895386
655,455,0.69465648854962,0.01636004447937
660,460,0.6969696969697,0.015764951705933
665,466,0.70075187969925,0.016414165496826
200,212,1.06,0.016237020492554
675,510,0.75555555555556,0.014909982681274
680,508,0.74705882352941,0.017093896865845
685,485,0.70802919708029,0.017035007476807
690,480,0.69565217391304,0.015732049942017
695,490,0.70503597122302,0.015137910842896
700,488,0.69714285714286,0.017775058746338
750,543,0.724,0.015599966049194
705,492,0.69787234042553,0.01613187789917
710,485,0.6830985915493,0.016373872756958
715,499,0.6979020979021,0.017099857330322
720,498,0.69166666666667,0.016250848770142
725,513,0.70758620689655,0.015505075454712
730,498,0.68219178082192,0.014986991882324
735,511,0.6952380952381,0.016063928604126
740,504,0.68108108108108,0.01525092124939
